"Mackeyville",121
"Macungie",14276
"Madera",1088
"Madison",551
"Madisonburg",256
"Mahaffey",1851
"Mahanoy City",5725
"Mahanoy Plane",380
"Mainesburg",694
"Mainland",0
"Malvern",22605
"Mammoth",0
"Manchester",6840
"Manheim",19225
"Manns Choice",1754
"Manor",1344
"Manorville",401
"Mansfield",7295
"Mapleton Depot",1577
"Mar Lin",343
"Marble",486
"Marchand",0
"Marcus Hook",27365
"Marianna",1793
"Marienville",1732
"Marietta",6196
"Marion",630
"Marion Center",2945
"Marion Heights",755
"Markleton",875
"Markleysburg",1806
"Mars",9786
"Marshalls Creek",0
"Marsteller",129
"Martin",119
"Martindale",0
"Martins Creek",553
"Martinsburg",5674
"Mary D",283
"Marysville",4745
"Masontown",4605
"Matamoras",3873
"Mather",758
"Mattawana",0
"Maxatawny",0
"Mayport",1607
"Maytown",0
"Mc Alisterville",3132
"Mc Clellandtown",2494
"Mc Clure",4691
"Mc Connellsburg",4678
"Mc Connellstown",0
"Mc Donald",11259
"Mc Elhattan",109
"Mc Ewensville",314
"Mc Grann",271
"Mc Intyre",158
"Mc Kean",3987
"Mc Kees Rocks",22537
"Mc Knightstown",131
"Mc Sherrystown",3386
"Mc Veytown",4520
"Mcadoo",3189
"Mcgees Mills",1851
"Mckeesport",47702
"Meadow Lands",62
"Meadville",28883
"Mechanicsburg",59235
"Mechanicsville",0
"Media",37327
"Mehoopany",1676
"Melcroft",413
"Mendenhall",0
"Mentcle",155
"Mercer",13253
"Mercersburg",7899
"Merion Station",5951
"Merrittstown",0
"Mertztown",4252
"Meshoppen",3225
"Mexico",0
"Meyersdale",6326
"Middleburg",7642
"Middlebury Center",1256
"Middleport",458
"Middletown",21556
"Midland",4747
"Midway",982
"Mifflin",1873
"Mifflinburg",9583
"Mifflintown",7065
"Mifflinville",1213
"Milan",1112
"Milanville",399
"Mildred",430
"Milesburg",1187
"Milford",11477
"Milford Square",0
"Mill Creek",1222
"Mill Hall",6736
"Mill Run",1532
